condition,genes,base_mean,log2fold_change,lfc_se,stat,pvalue,padj,direction,...10,gse_id,samples_bygse,vaccine,samples_byvaccine,samples,day,week,dose,infection,type,regimen,disease_vac,severity,variant,prior_infection,previous_vaccination
"BNT (V2, D1)",SAPCD2,23.7476465345976,0.446648985875598,0.168295950480188,2.65394969160698,0.00795556869159874,0.026181165328845,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SIAH1,264.975143160506,-0.17639109687516,0.0486833899284966,-3.6232295477828,2.9094740013155e-4,0.00155063586438831,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",EIF1B,3152.71049072218,0.210718235127822,0.0837513536628063,2.51599796196968,0.0118695869179422,0.0365768589600544,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TMOD2,653.628762361638,0.31860093533518,0.0656274525140846,4.85468996784241,1.20575234511268e-6,1.21349036016264e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",RAB12,317.467502466885,0.494173170319184,0.0525013135552677,9.4125867879281,4.8407406529488305e-21,3.5752773545134297e-19,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",PCED1B,569.781114754051,-0.241590158172574,0.0679952744638711,-3.55304335599001,3.8080169807663e-4,0.00195393786927668,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",RNF19B,2394.89638351089,0.45688852231043,0.0786478722648659,5.80929285374367,6.2737264579013e-9,1.02310000698083e-7,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",HMGCS1,323.102821907772,0.232047027855536,0.0358747218083775,6.46825999362449,9.913782011536369e-11,2.2997563620682504e-9,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TPRG1-AS1,6.17007325014092,0.748988916874678,0.18671164768716,4.01147398222111,6.0340827791225e-5,3.9282445069885e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",NKRF,152.649240812033,-0.148972882321309,0.0428084196995328,-3.47999023012137,5.0143206763271e-4,0.002480723556724,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SLC12A2,204.34461893061,-0.202185384786099,0.0426722830838167,-4.73809625768014,2.15735338119581e-6,2.04957522887383e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TRAV14DV4,46.2666018211547,-0.293141281321006,0.104466050612309,-2.80609135315072,0.00501464733097124,0.0177760280677996,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TRGC1,287.730251451504,-0.319700082128483,0.133520506119591,-2.39438938197354,0.0166480643475108,0.0485077731357351,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SH3YL1,317.213876930085,-0.303775680835336,0.079339823540794,-3.82879198967646,1.2877378715136e-4,7.6107502080992e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",RPS27P9,10.1712159080569,-1.11480773654449,0.158442919533114,-7.03602117298464,1.97806893063964e-12,5.866562983928139e-11,DOWN,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",CDK11B,816.278223083918,0.136351284379283,0.0445465993993733,3.06086853357434,0.00220695974218523,0.00885568704119753,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",LIN7C,672.09003798426,0.0820041798920835,0.0257120936273379,3.1893233231266,0.00142606280140054,0.00609845608906737,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",NFILZ,5.87575711396451,-0.540721341075659,0.1891102820396,-2.85929107208688,0.00424589000528076,0.0155442752735702,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",OTUD6B,173.26240619347,0.151110040986552,0.0448138025293272,3.37195311394657,7.4637153274597e-4,0.00350685873460947,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",PDLIM5,875.876444127975,0.203212108141987,0.0348275422967691,5.83481046151335,5.38517481181536e-9,8.93470742690758e-8,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",NLE1,80.8899966370031,-0.31899854700616,0.0767341517854921,-4.15719128423951,3.22184215896822e-5,2.2503751699736e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",PSD,16.6564350244159,-0.450247519164961,0.120913301674479,-3.72372198037491,1.9630709927437e-4,0.00109839866690764,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",CD1C,91.7387218255613,-0.60516864098795,0.0988270998058587,-6.12350905952695,9.15366481973246e-10,1.76862708618223e-8,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",GK,2040.88463777749,1.20967359278994,0.137969958879145,8.76765929784435,1.8241884051119998e-18,1.08767233654803e-16,UP,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",SIDT2,783.136900029226,0.183055766053892,0.062796882695786,2.91504543212264,0.0035563676697438,0.0133991433546905,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TRBV7-7,2.14303188641229,-0.976117899961704,0.276077714937694,-3.5356635003372,4.0675245155702e-4,0.00206955647352212,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TRBV7-7,2.14303188641229,-0.976117899961704,0.276077714937694,-3.5356635003372,4.0675245155702e-4,0.00206955647352212,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
