"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"49","LVS F TULARENSIS (H18)","LVS F TULARENSIS (H336)",76,2,2,78,78,"B2M, CARD10, CARD9, CCL18, CCL19, CCL20, CCL21, CCR4, CCR6, CCR7, CD83, FCGR3A, ICAM1, ICOS, IRAK1, IRAK1BP1, LAMP3, NOD1, PYCARD, TAP2, TICAM1, ADAMDEC1, CARD14, CARD8, CCL17, CCL22, CCR1, CCR2, CCR3, CCR5, CD1A, CD1B, CD1C, CD1D, CD209, CD44, CD58, CD68, CD74, CD80, CD81, CD86, CDC42, DCP1B, DCSTAMP, DCTN2, FAS, FCER1A, FCER1G, FCGR1A, FCGR2A, FCGR2B, HLA-DMA, HLA-DMB, HLA-DQB1, HLA-DRB1, HSP90B1, ICAM2, IRAK2, IRAK4, LILRB4, MYD88, NOD2, TAP1, TIRAP, TLR1, TLR10, TLR2, TLR3, TLR4, TLR5, TLR6, TLR7, TLR8, TLR9, TRAF6",97.44,97.44,1,0
"50","LVS F TULARENSIS (H18)","LVS F TULARENSIS (H48)",76,2,2,78,78,"B2M, CARD10, CARD9, CCL18, CCL19, CCL20, CCL21, CCR4, CCR6, CCR7, CD83, FCGR3A, ICAM1, ICOS, IRAK1, IRAK1BP1, LAMP3, NOD1, PYCARD, TAP2, TICAM1, ADAMDEC1, CARD14, CARD8, CCL17, CCL22, CCR1, CCR2, CCR3, CCR5, CD1A, CD1B, CD1C, CD1D, CD209, CD44, CD58, CD68, CD74, CD80, CD81, CD86, CDC42, DCP1B, DCSTAMP, DCTN2, FAS, FCER1A, FCER1G, FCGR1A, FCGR2A, FCGR2B, HLA-DMA, HLA-DMB, HLA-DQB1, HLA-DRB1, HSP90B1, ICAM2, IRAK2, IRAK4, LILRB4, MYD88, NOD2, TAP1, TIRAP, TLR1, TLR10, TLR2, TLR3, TLR4, TLR5, TLR6, TLR7, TLR8, TLR9, TRAF6",97.44,97.44,1,0
"51","LVS F TULARENSIS (H18)","CN54GP140 (D1)",0,78,172,78,174,"",0,0,7.47705888449713e-67,66.1262691991164
"52","LVS F TULARENSIS (H18)","CN54GP140 (D3)",0,78,74,78,74,"",0,0,2.85658504842472e-45,44.544152841265
"53","LVS F TULARENSIS (H18)","CN54GP140 (D7)",0,78,49,78,49,"",0,0,2.2864693731535e-36,35.6408346115409
"54","LVS F TULARENSIS (H18)","CN54GP140 (H6)",3,75,97,78,100,"FCGR3A, CCR2, CD1C",3.85,3,1.56647365868579e-46,45.8050769036764
"55","LVS F TULARENSIS (H18)","HIV-1 GAG-POL NEF (D1)",32,46,1994,78,2029,"CCR4, CCR6, CCR7, ICAM1, LAMP3, NOD1, PYCARD, TAP2, CCR1, CCR2, CD1C, CD44, CD68, CD86, FAS, FCER1A, FCER1G, FCGR2A, HLA-DMA, HLA-DMB, HLA-DRB1, LILRB4, MYD88, NOD2, TAP1, TLR1, TLR10, TLR2, TLR4, TLR6, TLR7, TLR8",41.03,1.58,1.98817037266543e-73,72.7015464022636
"56","LVS F TULARENSIS (H18)","HIV-1 GAG-POL NEF (D3)",6,72,136,78,142,"FCGR3A, CCR1, TAP1, TLR1, TLR2, TLR6",7.69,4.23,1.96472280244295e-50,49.7066987144292
"57","LVS F TULARENSIS (H18)","HPV-VLP (M2)",14,64,596,78,612,"CCL18, CCL19, CCL20, CD83, ICAM1, LAMP3, PYCARD, TAP2, CCL17, CD1B, CD209, NOD2, TLR1, TLR2",17.95,2.29,2.63766009303251e-76,75.578781171349
"58","LVS F TULARENSIS (H18)","INFLUENZA (D1)",0,78,26,78,26,"",0,0,4.43439020984212e-25,24.3531660932412
"59","LVS F TULARENSIS (H18)","PANDEMRIX (D1)",11,67,10,78,21,"CD86, HLA-DRB1, MYD88, NOD2, TAP1, TLR1, TLR2, TLR4, TLR6, TLR7, TLR8",14.1,52.38,7.81439866738761e-08,7.10710443613274
"60","LVS F TULARENSIS (H18)","FLUARIX FLUVIRIN (D3)",9,69,1046,78,1061,"ICOS, CCR2, CCR5, CD86, CDC42, FCER1G, ICAM2, TLR5, TLR8",11.54,0.85,8.25701608024723e-101,100.08317686963
"61","LVS F TULARENSIS (H18)","INFLUENZA (D3)",4,74,36,78,40,"TLR3, TLR4, TLR7, TLR9",5.13,10,1.51357006408267e-25,24.8199974704853
"62","LVS F TULARENSIS (H18)","PANDEMRIX (D3)",2,76,3,78,5,"TLR3, TLR7",2.56,40,0.000117205813408345,3.93105084677739
"63","LVS F TULARENSIS (H18)","PANDEMRIX (D30)",2,76,4,78,6,"TLR7, TLR9",2.56,33.33,8.57603512743987e-06,5.06671344877746
"64","LVS F TULARENSIS (H18)","FLUARIX FLUVIRIN (D7)",4,74,844,78,860,"CD83, ICAM1, HSP90B1, TRAF6",5.13,0.47,3.90122013083033e-105,104.408799543431
"65","LVS F TULARENSIS (H18)","INFLUENZA (D7)",0,78,72,78,72,"",0,0,1.21370492468426e-44,43.9158868858785
"66","LVS F TULARENSIS (H18)","PANDEMRIX (D7)",0,78,33,78,33,"",0,0,5.57770713762491e-29,28.2535442924817
"67","LVS F TULARENSIS (H18)","INACTIVATED INFLUENZA (D0)",0,78,5,78,5,"",0,0,3.44419081423288e-08,7.4629127958732
"68","LVS F TULARENSIS (H18)","FLUZONE (D1)",1,77,11,78,13,"FCGR1A",1.28,7.69,3.28589988907638e-13,12.4833456722716
"69","LVS F TULARENSIS (H18)","FLUZONE (D30)",0,78,16,78,16,"",0,0,2.17898593103847e-18,17.6617455738346
"70","LVS F TULARENSIS (H18)","FLUZONE (D7)",0,78,23,78,23,"",0,0,3.10584690297339e-23,22.5078199558298
"71","LVS F TULARENSIS (H18)","FLUMIST (D3)",12,66,1226,78,1245,"CARD9, PYCARD, CD44, CD86, CDC42, DCTN2, FCER1G, HLA-DMB, HLA-DRB1, MYD88, TLR7, TLR8",15.38,0.96,3.10464130147591e-99,98.5079885693323
"72","LVS F TULARENSIS (H18)","FLUMIST (D7)",13,65,2390,78,2445,"CD83, ICAM1, ICOS, CARD8, CCR2, CD1C, CD1D, CD58, CDC42, DCP1B, ICAM2, TLR5, TRAF6",16.67,0.53,1.33827130577594e-115,114.87345583376
"73","LVS F TULARENSIS (H18)","FLUMIST (D1)",0,78,15,78,15,"",0,0,1.28015423448512e-17,16.8927377028908
"74","LVS F TULARENSIS (H18)","FLUENZ (D3-4)",1,77,5,78,6,"TLR1",1.28,16.67,2.06651448853974e-07,6.68476154548956
