Cond1,Cond2,jaccard_distance,Shared,NotShared_cond1,NotShared_cond2,Total_Genes_Cond1,Total_Genes_Cond2,Genes_Names,Percentage_Shared_Cond1,Percentage_Shared_Cond2,pvalue,-log(p)
B CELL,MACROPHAGE,0.014,7,466,28,1650,105,"TLR4, SYK, PLCG2, EDNRB, TICAM1, PRKCE, LBP",0.42,6.67,1.1224900457496737e-39,38.94981750163436
B CELL,MAST CELL,0.01,5,468,19,1650,72,"BTK, SYK, RASGRP1, STAT5B, KIT",0.3,6.94,5.2367225093784436e-30,29.280940438479384
B CELL,MONOCYTE,0.025,20,453,317,1650,1029,"TNFSF13, HHEX, SPI1, TLR4, LYN, ALOX5, BTK, SYK, DUSP6, LY86, CD86, BCL6, NFAM1, PRKCD, MNDA, HCK, FGR, MPL, FCER1G, PTX3",1.21,1.94,2.370499086872289e-198,197.62516020763732
B CELL,MYELOID CELL,0.013,7,466,68,1650,225,"HHEX, TLR4, EGF, CD86, BCL6, IL10, FCER1G",0.42,3.11,5.554521581340676e-79,78.25535334149926
B CELL,NEUTROPHIL,0.016,10,463,141,1650,462,"BTK, SYK, VAV1, CXADR, ADAM17, NCKAP1L, PRKCD, MPL, FCER1G, LBP",0.61,2.16,6.744238462384182e-128,127.17106708235326
B CELL,NK CELL,0.025,15,458,124,1650,432,"GPR18, PTPN6, DLL1, RASGRP1, ZAP70, PTPRC, IFNA8, STAT5B, CEBPG, KIT, SP3, IFNE, ITK, IL2RB, GATA3",0.91,3.47,4.17927818328619e-112,111.37889872015926
B CELL,SIGNALING,0.029,17,456,112,1650,387,"LIF, CCR7, TNF, DUSP6, LHCGR, IMPG2, CXCR4, IFNA8, BCL6, IL10, IL7R, NFKBIA, NFKB1, TNFAIP3, HCK, BCL3, PTX3",1.03,4.39,1.457701024281623e-102,101.83633154105186
B CELL,T CELL,0.096,79,394,353,1650,1500,"SPI1, TLR4, CCR7, TNF, MS4A1, TCF4, CD24, CR2, SP140, BTK, CD37, SYK, VAV1, PLCG2, PTPN6, BCL2, BCL11B, CXADR, CD52, HLA-DRA, PHB1, CHRNA7, RASGRP1, HSPD1, ZAP70, CD86, GPR183, PTPRC, IFNA8, PIK3R1, RAG1, RAG2, IL2RG, PTPRJ, STAT5B, PTPN2, JAK3, BCL6, KIT, SP3, ITGA4, CD40LG, IL10, FOSL2, IFNE, VCAM1, ADAM17, SPNS2, BAX, IL7R, RC3H1, NCKAP1L, CASP3, PRKDC, CD70, ABL1, IL7, CTPS1, BCAR1, CTLA4, ITK, MAPK1, TEC, SRC, MYO1G, BCL3, CD81, WNT4, CLEC4G, IL4R, BCL10, FCER1G, IL2RB, CD27, LIG4, STAT6, LFNG, GATA3, CAV1",4.79,5.27,4.811037272821476e-156,155.31776127845018
LEUKOCYTES,ADAPTIVE IMMUNE SYSTEM,0.199,378,571,955,3078,7419,"CD4, CD247, CD2, CCR7, HLA-DRA, TRAT1, ZAP70, GIMAP6, TRA@, ITK, IL2RG, CD3E, CD3G, IL7R, KLRB1, CCL5, RASGRP1, SH2D1A, BCL11B, CD6, CD7, NKG7, UBASH3A, TRD@, SLA2, RORA, MAL, EOMES, XCL2, XCL1, ETS1, SAMD3, NLRC3, PRKCH, CD28, GNLY, LAT, PRF1, PRKCQ, GIMAP7, GATA3, GZMA, GZMB, CD96, GZMM, GZMH, TIGIT, IL32, TARP, THEMIS, TCF7, MS4A1, TXK, CAMK4, CD8B, CRTAM, KLRK1, CORO1A, SLAMF7, CCR5, STAT4, CXCR3, IFNG, IL18R1, CHST15, GRAP2, FASLG, BCL2, HNRPLL, IL2RA, FOS, TNF, TNFRSF4, ATF3, IL2RB, LILRB4, CD40LG, LILRB2, LILRB1, TYROBP, ITGA4, VCAM1, LILRB3, IL23A, IFI30, MAPK14, SELL, SPI1, LAG3, LTB, JAK3, SLC40A1, CHI3L2, HOPX, PLEKHF1, FGFBP2, TRGC2, CXCR6, GPR114, CTLA4, CCL4, FCER2, CAMK2D, CSF3, OSM, IGHD, BLK, CD200, IL1A, KIT, CD79A, MEF2C, DTX3, GAB1, SH2D2A, ADARB1, LARGE, FAM69B, CTGF, PRKCZ, CLIP4, BANK1, DHCR24, NAV1, CD19, FKBP14, PTK2, CD1B, EBF1, GPM6B, ICOSLG, VPREB1, CD9, VPREB3, LOC100132741, PSD3, SAMD13, RGL1, SCD, NDST3, ELOVL4, NTRK2, LOC100130458, RNF150, LRP12, ACPL2, TCL1A, GXYLT2, STK32B, ACCN2, GH1, LOC284757, ADCY9, VSIG10, OGN, FAM150B, CSRP2, HHIP, TNFSF13, LIF, HHEX, CEBPE, TLR4, LYN, CD72, CD79B, BTLA, LOC90925, CXCR5, CD22, MACROD2, CR2, PAX5, HLA-DOB, CDK14, FCGR2B, IGKC, ALOX5, HLA-DOA, HLA-DQA1, BTK, CIITA, GPR18, SYK, VAV1, JAM3, DUSP6, LY86, DLL1, TNFRSF17, EGF, CCR9, PDPN, JAM2, HLA-DPA1, ITGB6, SELE, HLA-DMA, CCR10, CXCR4, IL2, FAS, TAP2, FBXO38, P0DOX7, MYO1G, BTN3A2, HLA-E, OTUD7B, HLA-C, CLEC6A, RAG1, HLA-DMB, CD1C, NLRP10, P0DOX6, HLA-DRB3, P0DOX8, CTSS, CSK, CX3CR1, LILRA6, BCL10, VTCN1, KLRC1, TEC, KLRC2, ZNF683, TAP1, C17orf99, LAIR1, ARG2, CD160, CTSH, ERAP2, MCOLN2, LILRA3, GPR183, RNF19B, CD1E, P0DOX5, BTNL8, HLA-DRB4, IFNA8, BMX, CD46, P0DOX2, HMGB1, LAX1, CD8B2, CLEC10A, CD86, TFEB, C1QBP, TARM1, P0DOX4, HMHB1, CD81, SKAP1, PIK3CG, P0DOX3, FGL1, TFE3, IFNE, CLEC4G, TICAM1, CD40, BST2, CH25H, PIK3R1, MSH2, CEBPG, BCL6, NFAM1, IL10, RBPJ, FLT3, IL9, SPNS2, BAX, RC3H1, SOS1, PRKDC, CD70, IL7, PRKCD, CTPS1, CD38, BCAR1, MNDA, NFKBIA, NFKB1, TNFAIP3, ASXL1, CD83, FUT7, IRF1, TNFSF8, MYH9, IL15, FCER1G, SRC, PRKCE, HCK, FGR, IRF8, JAML, NFKB2, BCL3, CCL2, IL4R, CSF2RB, MSN, UNG, AXL, CCL3, CCL18, CCL7, ADAM8, CX3CL1, CCL4L1, CCL1, CCL3L1, CCL8, CCL24, CCL20, CCL23, RELB, NOTCH2, TNFSF4, SPN, PTX3, LBP, C4B, MBL2, HLA-G, LGALS1, ADAR, NKX2-3, WAS, SMAD3, TNFAIP8L2, CD80, MDK, F2RL1, CXCL12, DEFA4, DEFA1, MAP3K8, LEP, B2M, PRDX2, CTSC, JAG1, CR1, S1PR1, ITGB7, PSMB10, FKBP1B, KITLG, IDO1, CD151, SLC11A1, THEMIS2, PDE4B, NFKBID, DENND1B, CD1D, CEBPB, CCR2, RORC, IL6R, NOTCH1, MYB, PTGER4, ACOD1, FCER1A, HMGB2",12.28,5.1,1.475306646090569e-228,227.83111770113413
LEUKOCYTES,IMMUNE SYSTEM,0.059,82,51,1251,399,7419,"THEMIS, NFKBIA, TLR5, HLA-DRA, CD4, PRKCQ, CD247, FCGR1B, CCR7, TLR6, TLR2, FCER1G, TRAT1, LILRB2, LILRB1, CLEC7A, BTLA, FGR, CD86, GRAP2, HLA-DQB1, ZAP70, MNDA, IRAK3, DUSP6, PAK1, CTSH, CTLA4, TLR4, CSK, FOS, LAT2, CARD11, UBASH3A, TLR7, LY96, HCK, LYN, MAPK14, MYD88, ITK, SLA2, KLRK1, HLA-DMB, HLA-DQA1, MEF2C, SYK, TLR1, HLA-DOA, HLA-DOB, HLA-DMA, HLA-DPA1, CD19, CD3E, BTK, CD3G, CD1D, CD1E, CD1B, CD1C, CD1A, CD36, HLA-DRB4, CYP1B1, PLAUR, PTGS2, RTN1, AGPAT9, SLC27A2, ITGA4, GIMAP6, SELL, IRF8, FGL2, ITGAM, AIF1, ICAM1, HLA-C, HLA-G, HLA-F, HLA-E, TLR8",20.55,1.11,5.040463555529526e-57,56.297529521024536
LEUKOCYTES,ANTIMICROBIAL,0.047,63,0,1270,189,7419,"FAM3A, TAC1, DEFA4, CAMP, CXCL14, CXCL12, DEFA1, FAU, CCL20, DEFB130A, TOR2A, CXCL1, DEFA3, DEFB131A, REG1B, H2BC10, ROMO1, NTS, CXCL2, HAMP, S100A12, CXCL8, CXCL9, REG3A, GNLY, RNASE3, RPS19, BPI, REG3G, RPL30, DEFB1, LGALS3, PF4V1, H2BC12L, SPAG11A, CCL1, HTN1, DEFB103A, DEFA5, DEFA6, B2M, SPAG11B, CXCL6, CXCL3, NPPB, CXCL5, XCL1, CCL8, RPL39, HTN3, S100A7, DCD, F2, ADM, CCL18, PRTN3, BCL3, LYZ, CST9LP1, CST9, SLC11A1, PRSS3, AZU1",33.33,0.85,1,-0
LEUKOCYTES,ANTIVIRAL & IFN,0.062,87,60,1246,453,7419,"RNF135, TRIM65, MAVS, NMB, RIGI, IFIT1, EIF2AK2, STING1, MBL2, IFIT2, NLRP6, MX1, DAPK1, WAS, CCL5, CCL4, CCL8, GBP6, CCL1, GBP2, CCL3, GBP1, CCL4L1, CCL3L1, CCL18, CCL2, FCAR, CX3CL1, XCL1, TLR4, IRF8, CCL20, LGALS9, CCL24, CASP1, FASLG, SIRPA, CCL7, CCL23, CD58, GBP7, HLA-DPA1, ACOD1, AIF1, IFNE, IFITM1, OAS2, TYK2, IFI27, TBKBP1, IFITM3, SP100, IFITM2, IFNA8, IRF1, IFNGR1, HCK, IFNGR2, IFNLR1, IL10RB, IFNL2, IFIH1, ELANE, SERPING1, IL1B, RSAD2, RARA, DDX58, FCER1A, DHX58, PTX3, CARD9, OAS1, OAS3, PML, ANXA3, HERC5, DDX60, CXCL10, IRF7, BCL3, TAP1, PARP9, PLSCR1, USP18, SFN, LAMC2",19.21,1.17,6.860048031677152e-65,64.16367284350326
LEUKOCYTES,ARPP,0.156,223,96,1110,1053,7419,"THEMIS, NFKBIA, TLR5, HLA-DRA, CD4, PRKCQ, CD247, FCGR1B, CCR7, TLR6, TLR2, FCER1G, TRAT1, LILRB2, LILRB1, CLEC7A, BTLA, FGR, CD86, GRAP2, HLA-DQB1, ZAP70, MNDA, IRAK3, DUSP6, PAK1, CTSH, CTLA4, TLR4, CSK, FOS, LAT2, CARD11, UBASH3A, TLR7, LY96, HCK, LYN, MAPK14, MYD88, ITK, SLA2, KLRK1, HLA-DMB, HLA-DQA1, MEF2C, SYK, TLR1, HLA-DOA, HLA-DOB, HLA-DMA, HLA-DPA1, CD19, CD3E, BTK, CD3G, CD1D, CD1E, CD1B, CD1C, CD1A, CD36, HLA-DRB4, CYP1B1, PLAUR, PTGS2, RTN1, AGPAT9, SLC27A2, ITGA4, GIMAP6, SELL, IRF8, FGL2, ITGAM, AIF1, ICAM1, HLA-C, HLA-G, HLA-F, HLA-E, TLR8, MBL2, LBP, CD14, MAVS, RIGI, CGAS, STING1, CCR2, CXCR2, CCR1, CXCR4, CXCR1, HMGB1, GPR183, PIK3CG, CCL5, ALOX5, NLRP12, ITGB8, ITGB6, IL13, HAMP, FCGR3A, SLC11A1, TICAM1, IFI35, PRKCE, SFTPD, CCL2, LGALS3, AZU1, CCL3, CSF1, MCOLN2, P0DOX3, CCL3L1, CX3CL1, IL6R, CCL18, CCL1, CCL7, CTSG, XCL1, CCL23, CCL4, CCL4L1, CCL24, CCL20, RPS19, CCL8, S100A12, JAML, SIRPA, PECAM1, REG3G, TIRAP, HLA-DRB3, SPI1, NOTCH2, LTBR, RELB, RBPJ, LACC1, IRGM, TNFAIP3, CASP1, LAG3, RNF135, KLRC1, CLEC6A, KLRC2, KLRC3, SRC, BCL10, CTSS, TICAM2, CD40, DDX58, IRF7, ZBP1, AIM2, IL6, PYCARD, CXCL10, IL1B, FCGR1A /// FCGR1C, HSPA6, NCF4, C5AR1, APOB48R, LILRB3, KCNJ15, PILRA, TYROBP, MGAM, P2RY13, NFE2, FPR2, SIGLEC9, FCAR, DYSF, NPL, FPR1, FCGR2C, AQP9, FES, CSF3R, ITGAX, KCNJ2, WDFY3, BST1, ANPEP, LILRA6, PADI4, SLC40A1, TNFSF13B, ASGR1, ASGR2, PCTP, AP1S2, BCL6, IL1R2, TBXAS1, DHX58, TRIM25, IFIH1, TNF, ISG15, IL8, TAP1, KYNU, LY86, THBS1, PSMB8, EREG, BST2, USP18, RIPK2, CXCL16, PSMB10, IFIT2",21.18,3.01,9.065098258454392e-69,68.04262748413623
LEUKOCYTES,B CELL,0.081,136,337,1197,1650,7419,"TNFSF13, LIF, HHEX, CEBPE, SPI1, TLR4, CCR7, LYN, TNF, BLK, CD72, CD200, CD79B, VPREB3, CD79A, BTLA, LOC90925, LOC100130458, BANK1, MS4A1, CXCR5, CD22, TCL1A, IGHD, MACROD2, EBF1, CR2, PAX5, FCER2, HLA-DOB, CD19, CDK14, FCGR2B, IGKC, MEF2C, ALOX5, HLA-DOA, HLA-DQA1, BTK, CIITA, GPR18, SYK, VAV1, JAM3, BCL2, DUSP6, LY86, ICOSLG, GAB1, DLL1, FAM150B, BCL11B, VPREB1, EGF, CCR9, PDPN, JAM2, HLA-DPA1, HLA-DRA, ITGB6, SELE, HLA-DMA, CXCR4, TNFRSF17, TICAM1, CD40, LAX1, RASGRP1, ZAP70, CD86, BST2, GPR183, CH25H, IFNA8, PIK3R1, RAG1, MSH2, IL2RG, CEBPG, JAK3, BCL6, KIT, NFAM1, ITGA4, CD40LG, IL10, RBPJ, IFNE, FLT3, VCAM1, IL9, SPNS2, BAX, IL7R, RC3H1, SOS1, PRKDC, CD70, IL7, PRKCD, CTPS1, CD38, BCAR1, CTLA4, MNDA, ITK, BMX, NFKBIA, TEC, NFKB1, TNFAIP3, SRC, PRKCE, MYO1G, HCK, PTK2, FGR, IRF8, BCL3, CD81, CLEC4G, IL4R, BCL10, FCER1G, IL2RB, CSF2RB, UNG, NOTCH2, C17orf99, PTX3, LBP, C4B, MBL2, HLA-G, GATA3, CCR10",8.24,1.83,5.390688287544872e-242,241.26835578019382
LEUKOCYTES,CELLULAR ADAPTIVE IMMUNE SYSTEM,0.136,215,1118,248,7419,1506,"MAP3K8, IL23A, CCL5, CD83, NFKBID, FUT7, TNF, VCAM1, RELB, BCL3, LTB, CD1C, CD86, IFNGR2, CCL20, ATF3, JAG1, FCER1A, CD151, DENND1B, IFNGR1, CD80, KITLG, LGALS1, C5AR1, TYROBP, IFI30, SYK, TLR4, CD1D, LILRB3, LILRB2, LILRB1, GRN, ITGAM, AIF1, BTK, FCER1G, SPI1, CTSH, CHST15, SLC11A1, FOS, CEBPB, BCL6, CD4, CCR2, IL6R, SLC40A1, IL10, CLU, CXCL12, FKBP1B, SNCA, F2RL1, BTNL8, KLRB1, CD247, NLRC3, STAT4, PLEKHF1, RORA, EOMES, XCL2, XCL1, FGFBP2, SAMD3, ZAP70, KLRC1, PRKCH, TRD@, GNLY, FASLG, PRF1, PRKCQ, GIMAP7, GZMA, IL2RB, HOPX, ITK, GZMB, NKG7, CD96, GZMM, GZMH, KLRK1, SLAMF7, TRA@, TARP, CD7, RASGRP1, CX3CR1, TIGIT, GIMAP6, TRGC2, IL18R1, KIT, GPR114, CAMK4, LAT, MAL, GRAP2, HLA-DRA, DEFA4, DEFA1, HNRPLL, CHI3L2, AZU1, CD3E, CD3G, CR1, SH2D1A, CD2, BCL11B, MYB, SLA2, UBASH3A, TRAT1, CCL2, IFNG, CCR5, CXCR6, IL7R, IL2RA, IL15, CTLA4, CD28, HLA-E, B2M, BCAR1, HAMP, ITGA4, ASXL1, IFNA8, IL7, GATA3, IFNE, MS4A1, BCL2, PSMB10, GPR183, NOTCH1, RAG1, VAV1, IL2RG, CCR7, ETS1, TNFSF8, CR2, TCF7, TNFSF4, WAS, IL13, PIK3R1, IL32, PIK3CG, HLA-DRB3, SPN, FAS, CD70, SMAD3, CCL3, CD8B, PTGER4, CX3CL1, CXCR3, IL2, CD40LG, CLEC4G, TNFRSF4, CTSC, IL4R, ITGB7, TXK, THEMIS, BTN3A2, MYO1G, PRKDC, CD81, TEC, CTPS1, TAP2, HMGB1, CSK, CD160, TNFAIP8L2, CD46, IRF1, JAML, ZNF683, JAK3, THEMIS2, SKAP1, VTCN1, SRC, IDO1, CRTAM, BCL10, LILRB4, LAG3, CD6, PRDX2, S1PR1, CORO1A, MDK, BAX, PDE4B, SELL, MYH9, MSN, LEP, RORC, RC3H1, SPNS2, MAPK14",2.9,14.28,5.087064745301236e-160,159.29353273487737
LEUKOCYTES,COMPLEMENT,0.025,33,1300,9,7419,153,"C1QC, SERPING1, C2, FPR3, C5AR1, FPR2, FPR1, CFD, CFP, PROS1, CLU, C3AR1, CR1, NCR3LG1, C7, C1R, CR2, C6, C1QBP, CD55, C1S, CFB, CFH, MBL2, MASP2, C4A, CD46, MASP1, SUSD4, C4B, C4BPB, A2M, C3",0.44,21.57,1.1773207139894247e-14,13.929105214860108
LEUKOCYTES,DENDRITIC CELL,0.179,240,1093,11,7419,810,"MAP3K8, IL23A, CCL5, CD83, NFKBID, FUT7, CTGF, TNF, VCAM1, ICAM1, SAMSN1, RELB, NFKB2, EBI3, BCL3, IL1RN, NFKBIA, BIRC3, PRKCD, LTB, TNIP3, CD1E, CD1B, CD1C, CD1A, CSF1R, IL1R2, CSF2RA, ANPEP, CD9, IL1R1, CD38, DDX58, IRF7, PLSCR1, C1QC, IFIH1, SERPING1, DDX60, C2, IGKC, RSAD2, CXCL2, RGL1, CD86, RIN2, SLAMF8, IL4I1, ATP1B1, PLXDC2, CSF2RB, TNFAIP6, HESX1, CCL8, MX2, DOCK4, PDGFRL, MGST1, IFNGR2, IFIT3, IFIT2, IFIT1, HLX, CCL20, ST3GAL6, RBM47, IFI27, DAPK1, PRRG4, PDGFC, PARP9, LAMP3, CXCL11, DSE, IL18, BCL2A1, FAM20C, PRKAR2B, HERC5, SIGLEC1, ATF3, CLEC10A, B3GNT5, PGD, JAG1, FCER1A, EMILIN2, CLEC5A, CA2, CTSB, ADAM9, RRAGD, TACSTD2, CTSL1, GGTA1, DAB2, CAPG, AGPAT9, TM2D2, PPAP2B, SLC7A8, KMO, CD58, LRFN4, CCRL2, CD151, ADAM12, TM7SF4, SLC36A1, PDCD1LG2, PSEN2, GPR137B, C19orf28, TMEM158, PTGFRN, SLC6A6, SPINT2, LRP11, FZD5, TSPAN33, DIRC2, ALCAM, GJB2, GPNMB, ABHD12, EMP1, TFRC, HLA-DQB1, LHFPL2, COLEC12, SUCNR1, TMEM51, TGFA, SLC38A6, ITPRIPL2, CALCRL, CLDN23, ATP1B2, GRINA, FPR3, RAMP1, TREM2, SRD5A3, SLC41A2, FAM70A, LAMP2, ABCC3, DENND1B, P2RY6, NRP1, NRP2, CXCL16, CRIM1, GPR157, OLR1, CD274, SDC2, SLCO2B1, SLC7A11, ABCA6, MSR1, ACE, AGPAT3, SLC1A3, HLA-DQA1, TNFRSF11A, SERINC5, IGSF6, TSPAN15, STAB1, IFNGR1, FZD1, CCDC90A, LPCAT2, SFXN3, ENG, MFSD1, TTYH3, TMEM144, PLXND1, SLC27A3, ITGAX, SLC26A11, PLD3, HLA-DMA, CH25H, ANTXR2, SLC31A2, TNFSF13B, LY75, CD80, TMCC3, SLCO5A1, F11R, TTYH2, ITGB8, RNF144B, SGPP2, NINJ1, CD40, IL3RA, TMEM140, KITLG, SLC43A2, IL13RA1, IFI6, LRRC32, ELOVL7, EREG, TYROBP, SIRPA, TLR8, CCR1, SPI1, NLRP12, ALOX5, IL1B, LY96, LTBR, CXCR2, CCR2, CXCR1, STAT4, CCL4, IFNG, CXCR4, NOTCH2, GPR183, RBPJ, CCR7, SERPINB9, PIK3CG, HLA-DRB3, IRF8, HMGB1, LAG3, PDE4B, ADORA2A /// CYTSA, GCH1, HS3ST3B1",3.23,29.63,8.04115413247395e-9,8.094681613267403
LEUKOCYTES,EOSINOPHIL,0.013,17,1316,5,7419,66,"CCL5, CCL8, FCER1A, LGALS3, BTK, XCL1, CCL4, CCL2, CCL1, CCL7, CCL23, CCL18, CCL4L1, CCL24, CCL3L1, CCL3, CX3CL1",0.23,25.76,7.424496436895559e-10,9.1293329968382
LEUKOCYTES,HUMORAL ADAPTIVE IMMUNE SYSTEM,0.135,226,1107,346,7419,1785,"CD83, TNF, VCAM1, NFKB2, BCL3, NFKBIA, PRKCD, CD38, IGKC, CXCL2, CD86, CSF2RB, CCL8, CCL20, FCER1A, HLA-DQA1, HLA-DMA, CH25H, CD40, TNFSF13, LGALS3, HCK, LGALS1, S100A12, FGR, LYN, SYK, BST1, TLR4, LY86, BTK, FCER1G, SPI1, MNDA, ALOX5, SLC11A1, CXCL1, DUSP6, BCL6, PTX3, LYZ, HHEX, NFAM1, CCR2, IL10, EGF, CXCL12, XCL1, ZAP70, GNLY, IL2RB, ITK, RASGRP1, GPR18, DLL1, KIT, BANK1, MACROD2, VPREB1, VPREB3, CD19, CIITA, HLA-DRA, CDK14, DEFA4, DEFA1, CTSG, TCL1A, AZU1, LOC90925, BMX, JAM3, MEF2C, CD72, UNG, GAB1, PTK2, BPI, MSH2, CAMP, LOC100130458, EBF1, PRTN3, ICOSLG, PAX5, CCR9, BCL11B, HLA-DOA, CEBPE, RNASE3, CD22, FAM150B, CCL2, CCL1, CXCL3, CXCL5, CXCL6, CCL18, CXCL9, CXCR4, IL7R, LIF, CTLA4, FCER2, IGHD, BLK, CD200, CD79A, CD28, HLA-E, TAC1, B2M, DEFB1, SEMG2, H2BC10, DEFA3, RNASE4, WFDC13, DEFA6, WFDC11, H2BC12L, RPL39, WFDC3, PI3, FAU, DEFA5, ADM, WFDC9, SPRR2A, WFDC10B, NCR3LG1, FAM3A, BCAR1, LAX1, CXCL14, DEFB130A, TOR2A, DEFB131A, REG1B, ROMO1, NTS, HAMP, CXCL8, REG3A, RPS19, REG3G, RPL30, PF4V1, SPAG11A, HTN1, DEFB103A, SPAG11B, NPPB, HTN3, S100A7, DCD, F2, CST9LP1, CST9, PRSS3, JAM2, ITGA4, IFNA8, IL7, NOTCH2, GATA3, IFNE, BMI1, MS4A1, BCL2, PSMB10, TFEB, GPR183, TFE3, ST6GAL1, POU2F2, RBPJ, NOTCH1, RAG1, VAV1, IL2RG, HLA-DOB, HLA-DPA1, CCR7, CEBPG, CR2, PIK3R1, CXCR5, CCR10, CD79B, CD70, FCGR2B, IRF8, IL9, ITGB6, HLA-G, CD40LG, CLEC4G, IL4R, MYO1G, PRKDC, PRKCE, CD81, TEC, CTPS1, MBL2, LBP, C4B, C17orf99, BTLA, JAK3, BST2, SRC, BCL10, TNFRSF17, TICAM1, BAX, FLT3, SELE, SOS1, NKX2-3, PDPN, RC3H1, SPNS2, TNFAIP3, NFKB1",3.05,12.66,7.797112940440945e-205,204.10806617501942
LEUKOCYTES,IMMUNOGLOBULIN MEDIATED RESPONSE,0.064,89,1244,66,7419,465,"VCAM1, BCL3, NFKBIA, PRKCD, CD38, CD86, CSF2RB, CH25H, CD40, HCK, FGR, SYK, TLR4, BTK, FCER1G, SPI1, MNDA, BCL6, PTX3, HHEX, NFAM1, IL10, ZAP70, IL2RB, ITK, RASGRP1, KIT, BANK1, CD19, BMX, MEF2C, UNG, PTK2, MSH2, PAX5, CD22, IL7R, CTLA4, CD79A, BCAR1, LAX1, ITGA4, IFNA8, IL7, NOTCH2, GATA3, IFNE, MS4A1, BCL2, GPR183, RBPJ, RAG1, VAV1, IL2RG, CEBPG, CR2, PIK3R1, CXCR5, CD79B, CD70, FCGR2B, IRF8, IL9, HLA-G, CD40LG, CLEC4G, IL4R, MYO1G, PRKDC, PRKCE, CD81, TEC, CTPS1, MBL2, LBP, C4B, C17orf99, JAK3, BST2, SRC, BCL10, TICAM1, BAX, FLT3, SOS1, RC3H1, SPNS2, TNFAIP3, NFKB1",1.2,19.14,3.2742694344533615e-70,69.48488558604755
LEUKOCYTES,INFLAMMATION,0.034,46,1287,9,7419,228,"TNF, IL1RN, NFKBIA, BIRC3, TNFAIP6, CCL20, STAB1, CD80, TNFSF13, TYROBP, NOD2, TLR4, AIF1, FCER1G, NLRP3, RXRA, APOB48R, IL1B, CARD9, CD68, CXCR2, PAK1, IL10, STAT4, RASGRP1, CCL4, ELANE, HMGB2, NLRC4, IFNG, NOTCH2, RBPJ, NOTCH1, SERPINB9, HMGB1, SIRT2, IL31RA, NLRP6, CD6, PRDX2, PDE4B, RIPK2, TNFAIP3, ADORA2A /// CYTSA, GCH1, HS3ST3B1",0.62,20.18,1.6788553351849684e-13,12.774986724849255
