"process","genes","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size"
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNA5","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNA6","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNA7","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNA10","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNA13","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNA14","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNA16","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNA17","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNA21","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNB1","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IFNW1","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IRAK1","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IRF3","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IRF7","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","MYD88","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","TRAF3","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","IKBKE","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","TANK","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","TREX1","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","TBK1","Signaling, Interferon I, Pathway","Innate","Interferon","Undefined","GO:0060337",19
