"process","genes","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size"
"THYMUS DEVELOPMENT","PBX1","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","CCNB2","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","MAPK1","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","CTNNB1","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","RAG1","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","PRDX2","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","BRAF","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","TYR","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","ATM","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","FGF10","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","FOXE1","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","HOXA3","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","HES1","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","JARID2","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","RAF1","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","SHH","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","SIX1","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","TBX1","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
"THYMUS DEVELOPMENT","MAD1L1","Development, Thymocyte","Adaptive","Cellular","Thymocyte","GO:0048538",25
