Cond1,Cond2,Shared,Total_Genes_Cond1,Percentage_Shared_Cond1,pvalue,-log(p)
Basophil,Dendritic cell,8,1246,0.64,7.740549909120113e-20,19.111228184793475
Granulocyte,Dendritic cell,13,1246,1.04,4.652165102102312e-15,14.332344880861124
Natural killer,Macrophage,10,98,10.2,2.775309202239097e-47,46.55668862430869
Platelet,Macrophage,5,98,5.1,2.5932131727347723e-29,28.586161780979555
Eosinophil,Macrophage,7,98,7.14,1.609728667191264e-21,20.79324732165283
Basophil,Macrophage,3,98,3.06,4.466074834190892e-15,14.350074004102943
Granulocyte,Macrophage,6,98,6.12,2.969939764736925e-13,12.527252358799842
Natural killer,Mast cell,3,6,50,3.8560535220228756e-5,4.413856946719965
Basophil,Mast cell,2,6,33.33,0.00205058099794942,2.688123071405648
Platelet,Natural killer,4,175,2.29,7.265905951209055e-40,39.13871022787921
Eosinophil,Natural killer,7,175,4,5.122311158019259e-28,27.29053404357429
Basophil,Natural killer,5,175,2.86,2.524606539043695e-15,14.59780629724321
Granulocyte,Natural killer,6,175,3.43,1.3365682258291955e-16,15.874008867551
Eosinophil,Platelet,5,50,10,3.3597689340104627e-18,17.473690589912213
Basophil,Platelet,3,50,6,3.934906238332059e-12,11.405065611630238
Granulocyte,Platelet,3,50,6,1.0442623706963088e-13,12.981190371228442
Basophil,Eosinophil,7,38,18.42,1.0922601407706976e-6,5.9616739145192295
Granulocyte,Eosinophil,12,38,31.58,2.157048284061411e-4,3.6661401334015165
Granulocyte,Basophil,9,18,50,0.0040364433168031365,2.39400114187311
