Cond1,Cond2,Shared,Total_Genes_Cond1,Percentage_Shared_Cond1,pvalue,-log(p)
"ChAd-BNT (V2, D3)","BNT-I-BNT (D51, mild)",4,363,1.1,2.88074e-318,317.54049613603667
"ChAd-BNT (V2, D3)","BNT-I-BNT (D51, severe)",7,113,6.19,2.9978771944818547e-136,135.52318616163157
"ChAd-BNT (V2, D3)","BNT-MO (V3, D1)",188,1254,14.99,2.126118821126199e-293,292.6724124679795
"ChAd-BNT (V2, D3)","ChAd (V1, D3)",227,903,25.14,8.020238922745121e-182,181.09581269389986
"ChAd-BNT (V2, D3)","ChAd (V1, D6)",5,302,1.66,3.4266065214018393e-186,185.4651357629162
"ChAd-BNT (V2, D3)","ChAd (V1, D7)",23,337,6.82,3.5731030926910516e-225,224.44695445316756
"ChAd-BNT (V2, D3)","ChAd (V2, D1)",170,916,18.56,3.475533724661783e-253,252.45897849297984
"ChAd-BNT (V2, D3)","ChAd (V2, D3)",88,215,40.93,5.108108689798802e-95,94.29173987043805
"ChAd-BNT (V2, D3)","ChAd-BNT (V2, D7)",235,1156,20.33,1.2309007642578055e-209,208.9097769586629
"ChAd-BNT (V2, D3)","ChAd-BNT (V3, D1)",200,1156,17.3,3.920336101489243e-303,302.40667669809056
"ChAd-BNT (V2, D3)","I (D10, moderate)",305,1156,26.38,0,Inf
"ChAd-BNT (V2, D3)","I (D10, severe)",203,1156,17.56,0,Inf
"ChAd-BNT (V2, D3)","I (D26, moderate)",132,1156,11.42,0,Inf
"ChAd-BNT (V2, D3)","I (D26, severe)",234,1156,20.24,0,Inf
"ChAd-BNT (V2, D3)","I (D51, moderate)",4,1156,0.35,1.7784769916891788e-75,74.74995174894717
"ChAd-BNT (V2, D3)","I (D51, severe)",185,1156,16,0,Inf
"ChAd-BNT (V2, D3)","ZF2001 (V3, D07)",74,1156,6.4,0,Inf
"ChAd-BNT (V2, D3)","ZF2001 (V3, D14)",14,1156,1.21,1.9635987852709017e-237,236.70694724523702
"ChAd-BNT (V2, D3)","ZF2001 (V3, D28)",6,1156,0.52,8.971391766360582e-54,53.047140177963286
"ChAd-BNT (V2, D7)","BBIBP (V3, D14)",2,44,4.55,1.7905542685162597e-68,67.74701251175904
"ChAd-BNT (V2, D7)","BNT (V2, D1)",35,694,5.04,1.1804162e-316,315.92796483655957
"ChAd-BNT (V2, D7)","BNT (V3, D1)",44,708,6.21,8.314514729961684e-295,294.08016309295675
"ChAd-BNT (V2, D7)",BNT-I (D1),85,1101,7.72,0,Inf
"ChAd-BNT (V2, D7)","BNT-I (D10, mild)",143,4448,3.21,0,Inf
"ChAd-BNT (V2, D7)","BNT-I (D10, severe)",326,4635,7.03,0,Inf
"ChAd-BNT (V2, D7)","BNT-I (D26, mild)",77,2593,2.97,0,Inf
"ChAd-BNT (V2, D7)","BNT-I (D26, severe)",42,593,7.08,0,Inf
"ChAd-BNT (V2, D7)",BNT-I (D3),64,664,9.64,3.169145e-318,317.499057950088
"ChAd-BNT (V2, D7)",BNT-I (D4),36,150,24,1.7448609062117544e-112,111.75823918765745
"ChAd-BNT (V2, D7)","BNT-I-BNT (D51, mild)",4,363,1.1,6.8817550149486365e-298,297.16230079198095
"ChAd-BNT (V2, D7)","BNT-I-BNT (D51, severe)",8,113,7.08,2.114978790076465e-127,126.6746939835603
"ChAd-BNT (V2, D7)","BNT-MO (V3, D1)",61,1254,4.86,0,Inf
"ChAd-BNT (V2, D7)","ChAd (V1, D3)",102,903,11.3,3.131121781050906e-270,269.5043000407159
"ChAd-BNT (V2, D7)","ChAd (V1, D6)",39,302,12.91,1.1208954626267753e-119,118.95043488885136
"ChAd-BNT (V2, D7)","ChAd (V1, D7)",156,337,46.29,1.1035904824577309e-67,66.95719205360234
"ChAd-BNT (V2, D7)","ChAd (V2, D1)",34,916,3.71,0,Inf
"ChAd-BNT (V2, D7)","ChAd (V2, D3)",33,215,15.35,2.1850340682299923e-153,152.66054178728442
"ChAd-BNT (V2, D7)","ChAd-BNT (V2, D3)",235,1156,20.33,1.2309007642578055e-209,208.9097769586629
"ChAd-BNT (V2, D7)","ChAd-BNT (V3, D1)",47,972,4.84,0,Inf
"ChAd-BNT (V2, D7)","I (D10, moderate)",262,972,26.95,0,Inf
"ChAd-BNT (V2, D7)","I (D10, severe)",170,972,17.49,0,Inf
"ChAd-BNT (V2, D7)","I (D26, moderate)",185,972,19.03,0,Inf
"ChAd-BNT (V2, D7)","I (D26, severe)",245,972,25.21,0,Inf
"ChAd-BNT (V2, D7)","I (D51, moderate)",12,972,1.23,2.3789851987493387e-56,55.62360825998942
"ChAd-BNT (V2, D7)","I (D51, severe)",164,972,16.87,0,Inf
"ChAd-BNT (V2, D7)",I-I (D1),3,972,0.31,1.347069618260507e-59,58.870609958809254
"ChAd-BNT (V2, D7)",I-I (D3),2,972,0.21,0.003861003861003865,2.4132997640812515
"ChAd-BNT (V2, D7)",I-I (D5),9,972,0.93,8.374552493382696e-10,9.077038390840025
"ChAd-BNT (V2, D7)","ZF2001 (V3, D07)",126,972,12.96,0,Inf
"ChAd-BNT (V2, D7)","ZF2001 (V3, D14)",16,972,1.65,5.5986402815715144e-219,218.25191743547825
"ChAd-BNT (V2, D7)","ZF2001 (V3, D28)",8,972,0.82,1.446277002780458e-47,46.83974851944965
"ChAd-BNT (V3, D1)","BBIBP (V3, D14)",6,44,13.64,5.487971531274279e-64,63.26058815018807
"ChAd-BNT (V3, D1)","BNT (V2, D1)",284,694,40.92,5.820041056775705e-117,116.2350739516614
"ChAd-BNT (V3, D1)","BNT (V3, D1)",293,708,41.38,8.901593542734603e-103,102.0505322399993
"ChAd-BNT (V3, D1)",BNT-I (D1),65,1101,5.9,0,Inf
"ChAd-BNT (V3, D1)","BNT-I (D10, mild)",301,4448,6.77,0,Inf
"ChAd-BNT (V3, D1)","BNT-I (D10, severe)",331,4635,7.14,0,Inf
"ChAd-BNT (V3, D1)","BNT-I (D26, mild)",93,2593,3.59,0,Inf
"ChAd-BNT (V3, D1)","BNT-I (D26, severe)",24,593,4.05,0,Inf
"ChAd-BNT (V3, D1)",BNT-I (D3),76,664,11.45,0,Inf
"ChAd-BNT (V3, D1)",BNT-I (D4),8,150,5.33,1.31917128718296e-174,173.87969881002707
"ChAd-BNT (V3, D1)","BNT-I-BNT (D51, mild)",8,363,2.2,0,Inf
"ChAd-BNT (V3, D1)","BNT-I-BNT (D51, severe)",2,113,1.77,1.0060532936577455e-153,152.9973790127906
"ChAd-BNT (V3, D1)","BNT-MO (V3, D1)",413,1254,32.93,1.9635672430153648e-154,153.70695422157948
"ChAd-BNT (V3, D1)","ChAd (V1, D3)",138,903,15.28,1.5602669411874848e-283,282.80680109320514
"ChAd-BNT (V3, D1)","ChAd (V1, D6)",4,302,1.32,8.500325140173317e-197,196.07056446206423
"ChAd-BNT (V3, D1)","ChAd (V1, D7)",10,337,2.97,7.227409238549433e-262,261.14101735347185
"ChAd-BNT (V3, D1)","ChAd (V2, D1)",420,916,45.85,3.127528184326407e-100,99.504798767888
"ChAd-BNT (V3, D1)","ChAd (V2, D3)",12,215,5.58,6.346206301108708e-209,208.19748581405457
"ChAd-BNT (V3, D1)","ChAd-BNT (V2, D3)",200,1156,17.3,3.920336101489243e-303,302.40667669809056
"ChAd-BNT (V3, D1)","ChAd-BNT (V2, D7)",47,972,4.84,0,Inf
"ChAd-BNT (V3, D1)","I (D10, moderate)",290,1388,20.89,0,Inf
"ChAd-BNT (V3, D1)","I (D10, severe)",191,1388,13.76,0,Inf
"ChAd-BNT (V3, D1)","I (D26, moderate)",117,1388,8.43,0,Inf
"ChAd-BNT (V3, D1)","I (D26, severe)",227,1388,16.35,0,Inf
"ChAd-BNT (V3, D1)","I (D51, severe)",184,1388,13.26,0,Inf
"ChAd-BNT (V3, D1)","ZF2001 (V3, D07)",174,1388,12.54,0,Inf
"ChAd-BNT (V3, D1)","ZF2001 (V3, D14)",27,1388,1.95,1.9738667459436195e-226,225.70468216952594
"ChAd-BNT (V3, D1)","ZF2001 (V3, D28)",5,1388,0.36,9.001991164890072e-58,57.04566141764075
"I (D10, moderate)","BBIBP (V3, D14)",6,44,13.64,3.864495697870835e-82,81.41290717184181
"I (D10, moderate)","BBIBP (V3, D28)",3,16,18.75,1.1792584550882764e-33,32.92839100125142
"I (D10, moderate)","BNT (V2, D1)",157,694,22.62,0,Inf
"I (D10, moderate)","BNT (V3, D1)",185,708,26.13,0,Inf
"I (D10, moderate)",BNT-I (D1),311,1101,28.25,0,Inf
"I (D10, moderate)","BNT-I (D10, mild)",1931,4448,43.41,0,Inf
"I (D10, moderate)","BNT-I (D10, severe)",2515,4635,54.26,1.211793819949137e-152,151.91657126670071
"I (D10, moderate)","BNT-I (D26, mild)",1118,2593,43.12,0,Inf
"I (D10, moderate)","BNT-I (D26, severe)",342,593,57.67,8.674293892755548e-214,213.0617658676565
"I (D10, moderate)",BNT-I (D3),305,664,45.93,3.1606193654881607e-304,303.50022780324986
"I (D10, moderate)",BNT-I (D4),37,150,24.67,3.982425818152798e-177,176.39985230518582
"I (D10, moderate)","BNT-I-BNT (D51, mild)",121,363,33.33,1.5049699497988554e-278,277.822472171676
"I (D10, moderate)","BNT-I-BNT (D51, severe)",28,113,24.78,1.3676621752017667e-143,142.86402116399327
"I (D10, moderate)","BNT-MO (V3, D1)",263,1254,20.97,0,Inf
"I (D10, moderate)","ChAd (V1, D3)",219,903,24.25,0,Inf
"I (D10, moderate)","ChAd (V1, D6)",39,302,12.91,5.452876267273934e-193,192.26337435689777
"I (D10, moderate)","ChAd (V1, D7)",143,337,42.43,1.5933967132933207e-150,149.79767608299073
"I (D10, moderate)","ChAd (V2, D1)",193,916,21.07,0,Inf
"I (D10, moderate)","ChAd (V2, D3)",45,215,20.93,9.036809255134006e-227,226.0439848845133
"I (D10, moderate)","ChAd (V2, D7)",2,18,11.11,5.988568003642642e-20,19.22267701441637
"I (D10, moderate)","ChAd-BNT (V2, D3)",305,1156,26.38,0,Inf
"I (D10, moderate)","ChAd-BNT (V2, D7)",262,972,26.95,0,Inf
"I (D10, moderate)","ChAd-BNT (V3, D1)",290,1388,20.89,0,Inf
"I (D10, moderate)","I (D10, severe)",1893,3139,60.31,0,Inf
