condition,genes,base_mean,log2fold_change,lfc_se,stat,pvalue,padj,direction,...10,gse_id,samples_bygse,vaccine,samples_byvaccine,samples,day,week,dose,infection,type,regimen,disease_vac,severity,variant,prior_infection,previous_vaccination
"BNT (V2, D1)",DAAM2-AS1,1.19132148577267,-1.09501850833867,0.412689353647503,-2.65337232148221,0.00796919134212688,0.0262158915185829,DOWN,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ARHGEF7,702.882443646691,-0.0934276998171631,0.0260393968276276,-3.58793640404285,3.3330555840809e-4,0.00174232056285654,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",MIR646HG,187.613995856472,-0.346476859099988,0.0852773642455557,-4.06294052548705,4.8458379482401e-5,3.2257698879529e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ZNF778-DT,45.4991250521486,-0.190537494987808,0.0612628750157427,-3.11016247505273,0.00186984460055167,0.00769307492798403,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ARHGEF9,232.831005907285,-0.335308095525339,0.0540363423419238,-6.20523301528483,5.46159181690775e-10,1.09775380396521e-8,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",HPRT1,202.995071019007,0.117929183940802,0.0459112777815747,2.5686321452837,0.0102100775736772,0.032282633383766,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",HPRT1,202.995071019007,0.117929183940802,0.0459112777815747,2.5686321452837,0.0102100775736772,0.032282633383766,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",DACT1,42.6627964348178,-0.50358332876107,0.195997577323219,-2.5693344562653,0.0101894062489237,0.0322232935739444,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",HPRT1,202.995071019007,0.117929183940802,0.0459112777815747,2.5686321452837,0.0102100775736772,0.032282633383766,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",RPS2P46,525.998195328659,-0.195254319373577,0.063343730122638,-3.08245692186978,0.00205299442652862,0.00832654234191955,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TAMALIN,47.1713748336722,-0.327130920922172,0.121018623867378,-2.70314527192665,0.0068686719269661,0.02313062397997,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TAMM41,143.780987964744,-0.239788037046579,0.0537655834253875,-4.45987975522189,8.20056485749407e-6,6.69615310189672e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",DALRD3,132.641370177418,-0.0998625472226708,0.0404769357881703,-2.46714691411637,0.013619446586405,0.0410087912996224,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TANC2,549.834536598538,-0.251504657946857,0.0627442403162321,-4.00841028083644,6.11288536788107e-5,3.9727681913995e-4,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",RPS2P7,10.6039318103608,-0.695978294124776,0.133059296960276,-5.23058749012146,1.68972182735012e-7,2.10031872741631e-6,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ARID1B,2355.39059442964,-0.0764929669444213,0.0225870983609899,-3.38657784731359,7.0770194879191e-4,0.00334507510725429,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",DANCR,143.263339419724,-0.392142264148354,0.0577121768722173,-6.79479245803898,1.08468564616963e-11,2.8911481437369e-10,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",B3GLCT,92.732719259563,-0.134858140200876,0.0564462703280847,-2.38914173455633,0.0168877858791914,0.0490502023962914,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ZNF783,234.61512321405,-0.237491168593582,0.0476992401510434,-4.97892980771912,6.39368236038415e-7,6.8856891497345e-6,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",RACK1,6973.90221999729,-0.236637517464541,0.0516103835346803,-4.58507573975941,4.53821896319493e-6,3.96289326397068e-5,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",MIR6731,4.62991145614848,-0.453954994886491,0.178401250278777,-2.54457294540886,0.0109411456705588,0.0341711187113782,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ERP27,99.0428622499773,-0.216781969524315,0.0701975138725691,-3.08817161128874,0.00201392135946547,0.00819309585044799,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ARID4A,2061.34594143444,0.21414660243414,0.0573911951773497,3.73134941296111,1.9045684399586e-4,0.00107063587039757,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",LSM2,135.724046495148,-0.14708188638991,0.0587661537367005,-2.50283329837961,0.012320355918441,0.0377020675098404,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TRAV1-1,10.4962080437018,-0.451231017664224,0.177794203782647,-2.53793997815505,0.0111507106767144,0.034707269120997,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",DAP-DT,1.87077244366369,0.652934634891101,0.262878287529616,2.48379065850976,0.0129992201133065,0.0394478826510283,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",HPS5,332.661784558859,0.132425744310306,0.0380373716799938,3.48146410915023,4.9868060719727e-4,0.00246939927048133,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",TRAV1-1,10.4962080437018,-0.451231017664224,0.177794203782647,-2.53793997815505,0.0111507106767144,0.034707269120997,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
"BNT (V2, D1)",ARID4B,3260.99492466571,0.356631787917675,0.0598267540086132,5.96107533874111,2.50583394915432e-9,4.48581501953379e-8,NEUTRAL,22,GSE199750,305,BNT,396,46,1,1,2,0,RNA,HO,V,H,None,No,Yes
