condition,geneset_name,process,gene_ratio,bg_ratio,pvalue,p_adjust,qvalue,gene_id,count
"BNT (V2, D1)",BTM immune,viral sensing & immunity; IRF2 targets network (I) (M111.0),8/82,17/1456,1.1604137366164538e-6,7.625575983479554e-6,5.2349491877434004e-6,ZBP1/BST2/TAP1/IFI35/RIPK2/TNFSF13B/TLR7/USP18,8
"BNT (V2, D1)",BTM immune,RIG-1 like receptor signaling (M68),5/82,10/1456,1.0130373926713743e-4,5.824965007860402e-4,3.998831813176477e-4,CXCL10/IFIH1/DHX58/ISG15/IRF7,5
"BNT (V2, D1)",BTM immune,complement activation (I) (M112.0),6/82,17/1456,1.997862484641641e-4,0.001021129714372394,7.010043805760145e-4,CFB/SERPING1/C2/C1QA/C1QB/C1QC,6
"BNT (V2, D1)",BTM immune,DC surface signature (S5),13/82,82/1456,4.139442510100253e-4,0.0019041435546461162,0.0013071923716106062,COLEC12/P2RY6/CCRL2/PDCD1LG2/CD274/TMEM51/SLAMF8/SDC2/SIGLEC1/MSR1/LHFPL2/SLC1A3/PRRG4,13
"BNT (V2, D1)",BTM immune,Activated (LPS) dendritic cell surface signature (S11),8/82,37/1456,7.27738784960846e-4,0.003043271282563538,0.002089202253476113,COLEC12/IFI27/IFI6/PDCD1LG2/CD274/SIGLEC1/TNFSF13B/PRRG4,8
"BNT (V2, D1)",BTM immune,innate activation by cytosolic DNA sensing (M13),4/82,11/1456,0.0022786996050622845,0.008735015152738758,0.0059965779080586425,ZBP1/AIM2/CXCL10/IRF7,4
"BNT (V2, D1)",BTM immune,chemokine cluster (II) (M27.1),4/82,15/1456,0.007923572484902282,0.028037256485038842,0.01924754449773834,CXCL10/CXCL11/CXCL9/CCL2,4
"BNT (V2, D1)",BTM immune,chemokine cluster (I) (M27.0),5/82,26/1456,0.012924693780065508,0.04246685099164381,0.02915344461668912,CXCL10/CXCL11/CXCL9/CCL2/CCL8,5
"BNT (V2, D1)",VAX SigDB filtered,"STAMARIL (D7, UNK YO)",110/198,483/6611,1.3336663993945867e-75,3.734265918304842e-74,1.2634734310053979e-74,IFIT1/IFIT3/OAS2/MT2A/ZBP1/SORT1/TIMM10/BATF2/CMPK2/SP140/MX1/SPATS2L/MARCO/HELZ2/AIM2/HERC6/HES4/TMEM268/BST2/STAT1/STAT2/TNFAIP6/ANKRD22/IRF9/ISG20/CTSL/DDX60/CXCL10/GBP2/IFITM3/EPSTI1/CYBB/TAP1/TAP2/IDO1/RTP4/ATF3/NUB1/IFI16/IFI27/TCN2/IFI35/IFI44/IFI44L/SERPING1/IFI6/IFIH1/IFIT2/SAMD4A/IFIT5/SAMD9L/DHX58/ORM1/TRIM21/RHBDF2/OTOF/SOCS1/EIF2AK2/TRIM5/RIGI/CCL8/MYOF/LGALS3BP/PARP9/TMEM51/ISG15/CASP5/PARP12/C1QA/C1QB/DHRS9/OASL/EPB41L3/GCH1/TYMP/SCO2/PML/UBE2L6/LY6E/LAP3/FBXO6/RSAD2/SMCO4/TDRD7/XAF1/GBP1/OAS1/TRIM22/PSME2/FRMD3/LAMP3/GBP5/TNFSF10/TNFSF13B/OAS3/TLR7/SEPTIN4/PARP14/TRAFD1/VAMP5/WARS1/NMI/PLSCR1/CEACAM1/MOV10/IRF7/LHFPL2/SAT1/GBP4/HERC5,110
"BNT (V2, D1)",VAX SigDB filtered,"STAMARIL (D10, UNK YO)",93/198,303/6611,4.0701878850434725e-75,5.698263039060861e-74,1.9279837350205924e-74,IFIT1/IFIT3/OAS2/MT2A/ZBP1/TIMM10/BATF2/SP140/MX1/SPATS2L/HELZ2/AIM2/HERC6/HES4/TMEM268/BST2/STAT1/STAT2/ANKRD22/IRF9/CTSL/DDX60/GBP2/IFITM3/EPSTI1/CYBB/TAP1/TAP2/RTP4/ATF3/NUB1/IFI16/IFI27/IFI35/IFI44/IFI44L/SERPING1/IFI6/IFIH1/IFIT2/SAMD4A/IFIT5/SAMD9L/DHX58/ORM1/TRIM21/OTOF/SOCS1/EIF2AK2/TRIM5/RIGI/MYOF/LGALS3BP/PARP9/ISG15/PARP12/DHRS9/OASL/EPB41L3/GCH1/SCO2/PML/UBE2L6/LY6E/CALHM6/LAP3/FBXO6/RSAD2/TDRD7/XAF1/GBP1/OAS1/TYMS/TRIM22/PSME2/FRMD3/GBP5/TNFSF10/OAS3/TLR7/SEPTIN4/PARP14/TRAFD1/VAMP5/WARS1/NMI/PLSCR1/CEACAM1/MOV10/IRF7/LHFPL2/SAT1/HERC5,93
