"","process_1","process_2","shared_genes","genes"
"11","ADAPTIVE IMMUNE SYSTEM","HUMORAL ADAPTIVE IMMUNE SYSTEM",187,"ABL1,STAT5B,MYO1G,HLA-E,CD19,RAG1,JAK3,SYK,ITK,BCL10,TEC,C17orf99,ZAP70,BTK,GPR183,IFNA8,CTLA4,BMX,LAX1,CD79B,CD86,TFEB,CD81,TFE3,IFNE,CD79A,CLEC4G,PTPRC,TICAM1,BANK1,CXCR5,TBC1D10C,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,RASGRP1,HSPD1,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,CH25H,PLCG2,PAX5,TOP2B,PIK3R1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,EP300,PTPRJ,YY1,PTPN2,LYL1,CEBPG,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,TPD52,TCF3,RBPJ,FOSL2,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SPNS2,BAX,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,PRKDC,CD70,TLR4,IL7,PRKCD,CTPS1,CD38,WNT3A,BCAR1,GRB2,MNDA,MAPK1,NFKBIA,PTPN6,NFKB1,TNFAIP3,LIPA,HOXB4,CD83,CD28,LIG4,FCER1G,LIMK1,VAV2,SRC,VAV1,PRKCE,HCK,PTK2,FGR,PLPP4,FCGR2B,IRF8,SPI1,NFKB2,BCL3,CCL2,ZP3,IRF2BP2,SYVN1,WNT4,IL4R,IL9R,MPL,IL2RB,CD27,CSF2RB,MLH1,ERCC1,UNG,RNF168,SANBR,MSH6,STAT6,CCL18,XCL1,CCL1,CCL8,CCL20,GATA3,LFNG,NOTCH2,ST3GAL1,PTX3,SFTPA1,LBP,C4B,MBL2,HLA-G,LGALS1,LRRC8A,SHLD3,SHLD1,SHLD2,PMS2,MSH3,NKX2-5,EPB42,CDKN2B,PBX1,NKX3-2,NKX2-3,CACNB4,KMT2A,CXCL12,DEFA4,DEFA1,B2M,PSMB10,SLC11A1,CCR2,NOTCH1,FCER1A"
"12","HUMORAL ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM",187,"HLA-E,DEFA4,B2M,DEFA1,CXCL12,CCL20,CCL1,XCL1,CCL8,CCL18,BCL3,SLC11A1,TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,GPR183,CH25H,PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SPNS2,BAX,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,PRKDC,CD70,CD19,TLR4,ABL1,IL7,PRKCD,CTPS1,CD38,WNT3A,BCAR1,CTLA4,GRB2,MNDA,ITK,MAPK1,BMX,NFKBIA,PTPN6,TEC,NFKB1,TNFAIP3,LIMK1,VAV2,SRC,VAV1,PRKCE,MYO1G,HCK,PTK2,FGR,PLPP4,FCGR2B,IRF8,SPI1,CCR2,NOTCH2,GATA3,CD83,CD28,PSMB10,CCL2,TFEB,TFE3,NOTCH1,ZP3,CD81,IRF2BP2,SYVN1,WNT4,CLEC4G,IL4R,IL9R,MPL,BCL10,FCER1G,IL2RB,CD27,CSF2RB,LIG4,MLH1,ERCC1,UNG,RNF168,SANBR,MSH6,STAT6,LFNG,C17orf99,ST3GAL1,PTX3,SFTPA1,LBP,C4B,MBL2,HLA-G,LGALS1,LRRC8A,SHLD3,SHLD1,SHLD2,PMS2,MSH3,HOXB4,NKX2-5,LIPA,EPB42,CDKN2B,PBX1,NKX3-2,NFKB2,NKX2-3,CACNB4,KMT2A,FCER1A"
"13","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM",161,"STAT5B,IL2,TAP2,HLA-DOB,HLA-E,HLA-C,CLEC6A,CD1B,JAK3,HLA-DMB,CD1C,NLRP10,LAG3,HLA-DRB3,SYK,CTSS,ITK,CX3CR1,BCL10,KLRC1,KLRC2,ZNF683,TAP1,ARG2,ZAP70,CD160,CTSH,ERAP2,BTK,MCOLN2,GPR183,RNF19B,CD1E,CD6,HLA-DRB4,IFNA8,CD46,HMGB1,CLEC10A,TFEB,C1QBP,HLA-DPA1,TARM1,HLA-DMA,PIK3CG,KLRK1,P0DOX3,IFNE,PTPRC,TICAM1,CD40,PHB1,RASGRP1,HSPD1,BST2,HDAC4,CH25H,PLCG2,EP300,CEBPG,CR2,KIT,SP3,IL10,RBPJ,FOSL2,ADAM17,BAX,NCKAP1L,PRKDC,TLR4,PRKCD,MNDA,NFKBIA,PTPN6,NFKB1,TNFAIP3,LIPA,TOX,WDFY4,IRF1,RAB27A,CCR7,IL15,FCER1G,SRC,VAV1,PRKCE,HCK,FGR,FCGR2B,IRF8,SPI1,CXADR,JAML,UNC13D,NFKB2,CCL2,MPL,DOCK8,AXL,TYRO3,MERTK,CCL3,CCL18,CCL4,CCL7,XCL1,GPR15LG,CX3CL1,CCL4L1,CCL1,CCL3L1,SAA1,CCL8,CCL24,CCL5,CCL20,CCL23,RELB,GATA3,NOTCH2,PTX3,LBP,C4B,MBL2,HLA-G,ITPKB,ADAR,PBX1,WAS,CORO1A,NCK1,TNFAIP8L2,F2RL1,PSEN1,DEFA4,DEFA1,B2M,JMJD6,IL20RB,PRDX2,GZMM,EMP2,CR1,IL12B,KITLG,SLC11A1,PDE4B,UBE2N,CD1D,CEBPB,CCR2,IL6R,JAK1,NOTCH1,SOD1,ACOD1,FCER1A,IL33,HMGB2"
"14","INNATE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM",161,"NLRP10,MNDA,TLR4,PRKDC,HMGB1,CD6,TFEB,CX3CR1,CLEC6A,PLCG2,BCL10,HLA-DRB4,RAB27A,HLA-DRB3,HLA-DMA,HLA-DOB,CTSH,RELB,CTSS,HLA-DMB,HLA-DPA1,HLA-E,HLA-C,WDFY4,TAP2,TAP1,ERAP2,B2M,HLA-G,FCER1G,FCGR2B,SLC11A1,CD1D,CD1B,CD1E,CD1C,PHB1,UBE2N,MBL2,NCK1,PSEN1,MPL,LBP,WAS,CCL5,CCL4,CCL8,CCL1,CCL3,CCL4L1,CCL3L1,CCL18,CCL2,CX3CL1,XCL1,IRF8,CCL20,CCL24,CCL7,CCL23,IL12B,ACOD1,IL10,CCR2,CCR7,GPR183,PIK3CG,DOCK8,FCER1A,BTK,UNC13D,CEBPB,NOTCH1,IL20RB,HMGB2,FOSL2,NOTCH2,RBPJ,RASGRP1,BST2,PTX3,TARM1,CD46,JAK3,KLRC2,CD160,KLRK1,FGR,ADAR,GZMM,TNFAIP8L2,C4B,F2RL1,CLEC10A,ARG2,KLRC1,CR1,TICAM1,SYK,GATA3,C1QBP,HCK,NFKB2,IRF1,ZNF683,CORO1A,NFKB1,DEFA4,SRC,ZAP70,MCOLN2,CR2,AXL,DEFA1,JMJD6,IL33,PRKCE,SAA1,LIPA,KITLG,KIT,GPR15LG,STAT5B,P0DOX3,IL6R,JAML,HSPD1,NCKAP1L,SOD1,BAX,ITPKB,SPI1,IL2,IFNA8,IFNE,SP3,PBX1,PTPRC,MERTK,TYRO3,IL15,PTPN6,LAG3,CEBPG,RNF19B,EMP2,PRKCD,PDE4B,VAV1,CXADR,ADAM17,ITK,TOX,NFKBIA,TNFAIP3,PRDX2,CH25H,CD40,EP300,HDAC4,JAK1"
"15","ADAPTIVE IMMUNE SYSTEM","B CELL",155,"ABL1,STAT5B,MYO1G,CD19,RAG1,JAK3,SYK,ITK,BCL10,TEC,C17orf99,ZAP70,BTK,GPR183,IFNA8,CTLA4,BMX,LAX1,CD79B,CD86,CD81,IFNE,CD79A,CLEC4G,PTPRC,TICAM1,BANK1,CXCR5,TBC1D10C,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,RASGRP1,HSPD1,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,CH25H,PLCG2,PAX5,TOP2B,PIK3R1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,EP300,PTPRJ,YY1,PTPN2,LYL1,CEBPG,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,TPD52,TCF3,RBPJ,FOSL2,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SPNS2,BAX,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,PRKDC,CD70,TLR4,IL7,PRKCD,CTPS1,CD38,WNT3A,BCAR1,GRB2,MNDA,MAPK1,NFKBIA,PTPN6,NFKB1,TNFAIP3,LIG4,FCER1G,LIMK1,VAV2,SRC,VAV1,PRKCE,HCK,PTK2,FGR,PLPP4,FCGR2B,IRF8,SPI1,BCL3,ZP3,IRF2BP2,SYVN1,WNT4,IL4R,IL9R,MPL,IL2RB,CD27,CSF2RB,MLH1,ERCC1,UNG,RNF168,SANBR,MSH6,STAT6,GATA3,LFNG,NOTCH2,ST3GAL1,PTX3,SFTPA1,LBP,C4B,MBL2,HLA-G,LRRC8A,SHLD3,SHLD1,SHLD2,PMS2,MSH3"
"16","ADAPTIVE IMMUNE SYSTEM","IMMUNOGLOBULIN MEDIATED RESPONSE",155,"ABL1,STAT5B,MYO1G,CD19,RAG1,JAK3,SYK,ITK,BCL10,TEC,C17orf99,ZAP70,BTK,GPR183,IFNA8,CTLA4,BMX,LAX1,CD79B,CD86,CD81,IFNE,CD79A,CLEC4G,PTPRC,TICAM1,BANK1,CXCR5,TBC1D10C,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,RASGRP1,HSPD1,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,CH25H,PLCG2,PAX5,TOP2B,PIK3R1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,EP300,PTPRJ,YY1,PTPN2,LYL1,CEBPG,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,TPD52,TCF3,RBPJ,FOSL2,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SPNS2,BAX,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,PRKDC,CD70,TLR4,IL7,PRKCD,CTPS1,CD38,WNT3A,BCAR1,GRB2,MNDA,MAPK1,NFKBIA,PTPN6,NFKB1,TNFAIP3,LIG4,FCER1G,LIMK1,VAV2,SRC,VAV1,PRKCE,HCK,PTK2,FGR,PLPP4,FCGR2B,IRF8,SPI1,BCL3,ZP3,IRF2BP2,SYVN1,WNT4,IL4R,IL9R,MPL,IL2RB,CD27,CSF2RB,MLH1,ERCC1,UNG,RNF168,SANBR,MSH6,STAT6,GATA3,LFNG,NOTCH2,ST3GAL1,PTX3,SFTPA1,LBP,C4B,MBL2,HLA-G,LRRC8A,SHLD3,SHLD1,SHLD2,PMS2,MSH3"
"17","B CELL","ADAPTIVE IMMUNE SYSTEM",155,"TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,GPR183,CH25H,PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SPNS2,BAX,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,PRKDC,CD70,CD19,TLR4,ABL1,IL7,PRKCD,CTPS1,CD38,WNT3A,BCAR1,CTLA4,GRB2,MNDA,ITK,MAPK1,BMX,NFKBIA,PTPN6,TEC,NFKB1,TNFAIP3,LIMK1,VAV2,SRC,VAV1,PRKCE,MYO1G,HCK,PTK2,FGR,PLPP4,FCGR2B,IRF8,SPI1,BCL3,ZP3,CD81,IRF2BP2,SYVN1,WNT4,CLEC4G,IL4R,IL9R,MPL,BCL10,FCER1G,IL2RB,CD27,CSF2RB,LIG4,MLH1,ERCC1,UNG,RNF168,SANBR,MSH6,STAT6,LFNG,NOTCH2,C17orf99,ST3GAL1,PTX3,SFTPA1,LBP,C4B,MBL2,HLA-G,LRRC8A,GATA3,SHLD3,SHLD1,SHLD2,PMS2,MSH3"
"18","B CELL","HUMORAL ADAPTIVE IMMUNE SYSTEM",155,"TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,GPR183,CH25H,PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SPNS2,BAX,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,PRKDC,CD70,CD19,TLR4,ABL1,IL7,PRKCD,CTPS1,CD38,WNT3A,BCAR1,CTLA4,GRB2,MNDA,ITK,MAPK1,BMX,NFKBIA,PTPN6,TEC,NFKB1,TNFAIP3,LIMK1,VAV2,SRC,VAV1,PRKCE,MYO1G,HCK,PTK2,FGR,PLPP4,FCGR2B,IRF8,SPI1,BCL3,ZP3,CD81,IRF2BP2,SYVN1,WNT4,CLEC4G,IL4R,IL9R,MPL,BCL10,FCER1G,IL2RB,CD27,CSF2RB,LIG4,MLH1,ERCC1,UNG,RNF168,SANBR,MSH6,STAT6,LFNG,NOTCH2,C17orf99,ST3GAL1,PTX3,SFTPA1,LBP,C4B,MBL2,HLA-G,LRRC8A,GATA3,SHLD3,SHLD1,SHLD2,PMS2,MSH3"
"19","B CELL","IMMUNOGLOBULIN MEDIATED RESPONSE",155,"TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,GPR183,CH25H,PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SPNS2,BAX,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,PRKDC,CD70,CD19,TLR4,ABL1,IL7,PRKCD,CTPS1,CD38,WNT3A,BCAR1,CTLA4,GRB2,MNDA,ITK,MAPK1,BMX,NFKBIA,PTPN6,TEC,NFKB1,TNFAIP3,LIMK1,VAV2,SRC,VAV1,PRKCE,MYO1G,HCK,PTK2,FGR,PLPP4,FCGR2B,IRF8,SPI1,BCL3,ZP3,CD81,IRF2BP2,SYVN1,WNT4,CLEC4G,IL4R,IL9R,MPL,BCL10,FCER1G,IL2RB,CD27,CSF2RB,LIG4,MLH1,ERCC1,UNG,RNF168,SANBR,MSH6,STAT6,LFNG,NOTCH2,C17orf99,ST3GAL1,PTX3,SFTPA1,LBP,C4B,MBL2,HLA-G,LRRC8A,GATA3,SHLD3,SHLD1,SHLD2,PMS2,MSH3"
"20","GENERAL","HUMORAL ADAPTIVE IMMUNE SYSTEM",155,"HLA-E,TAC1,DEFA4,B2M,DEFB1,SEMG2,CAMP,DEFA1,H2BC10,DEFA3,BPI,RNASE3,RNASE4,WFDC13,CTSG,DEFA6,WFDC11,H2BC12L,RPL39,WFDC3,PI3,FAU,DEFA5,ADM,WFDC9,SPRR2A,WFDC10B,NCR3LG1,FAM3A,CD19,BCAR1,LAX1,CXCL14,CXCL12,CCL20,DEFB130A,TOR2A,CXCL1,DEFB131A,REG1B,ROMO1,NTS,CXCL2,HAMP,S100A12,CXCL8,CXCL9,REG3A,GNLY,RPS19,REG3G,RPL30,LGALS3,PF4V1,SPAG11A,CCL1,HTN1,DEFB103A,SPAG11B,CXCL6,CXCL3,NPPB,CXCL5,XCL1,CCL8,HTN3,S100A7,DCD,F2,CCL18,PRTN3,BCL3,LYZ,CST9LP1,CST9,SLC11A1,PRSS3,AZU1,ITGA4,IFNA8,CCR2,IL7,NOTCH2,GATA3,IFNE,BMI1,CD83,CD28,ALOX5,MS4A1,BCL2,PSMB10,CCL2,TFEB,MEF2C,GPR183,BST1,TFE3,ST6GAL1,POU2F2,RBPJ,NOTCH1,RAG1,VAV1,IL2RG,IL10,CEBPG,CR2,PIK3R1,CXCR5,ZAP70,IL7R,CD79B,TLR4,CTLA4,CD70,FCGR2B,IRF8,IL9,HLA-G,CD40LG,CLEC4G,IL4R,CD86,FGR,CD40,MYO1G,PRKDC,PRKCE,CD81,TEC,CTPS1,MBL2,BCL6,CD79A,BTK,LBP,SYK,C4B,C17orf99,ITK,JAK3,HCK,BST2,FCER1G,SRC,BCL10,TICAM1,BAX,FLT3,SOS1,VCAM1,NKX2-3,RC3H1,SPNS2"
"21","HUMORAL ADAPTIVE IMMUNE SYSTEM","B CELL",155,"BCL3,TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,GPR183,CH25H,PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SPNS2,BAX,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,PRKDC,CD70,CD19,TLR4,ABL1,IL7,PRKCD,CTPS1,CD38,WNT3A,BCAR1,CTLA4,GRB2,MNDA,ITK,MAPK1,BMX,NFKBIA,PTPN6,TEC,NFKB1,TNFAIP3,LIMK1,VAV2,SRC,VAV1,PRKCE,MYO1G,HCK,PTK2,FGR,PLPP4,FCGR2B,IRF8,SPI1,NOTCH2,GATA3,ZP3,CD81,IRF2BP2,SYVN1,WNT4,CLEC4G,IL4R,IL9R,MPL,BCL10,FCER1G,IL2RB,CD27,CSF2RB,LIG4,MLH1,ERCC1,UNG,RNF168,SANBR,MSH6,STAT6,LFNG,C17orf99,ST3GAL1,PTX3,SFTPA1,LBP,C4B,MBL2,HLA-G,LRRC8A,SHLD3,SHLD1,SHLD2,PMS2,MSH3"
"22","HUMORAL ADAPTIVE IMMUNE SYSTEM","GENERAL",155,"HLA-E,TAC1,DEFA4,B2M,DEFB1,SEMG2,CAMP,DEFA1,H2BC10,DEFA3,BPI,RNASE3,RNASE4,WFDC13,CTSG,DEFA6,WFDC11,H2BC12L,RPL39,WFDC3,PI3,FAU,DEFA5,ADM,WFDC9,SPRR2A,WFDC10B,NCR3LG1,FAM3A,CXCL14,CXCL12,CCL20,DEFB130A,TOR2A,CXCL1,DEFB131A,REG1B,ROMO1,NTS,CXCL2,HAMP,S100A12,CXCL8,CXCL9,REG3A,GNLY,RPS19,REG3G,RPL30,LGALS3,PF4V1,SPAG11A,CCL1,HTN1,DEFB103A,SPAG11B,CXCL6,CXCL3,NPPB,CXCL5,XCL1,CCL8,HTN3,S100A7,DCD,F2,CCL18,PRTN3,BCL3,LYZ,CST9LP1,CST9,SLC11A1,PRSS3,AZU1,TICAM1,CXCR5,CD79A,CD40,MS4A1,LAX1,BTK,ZAP70,CD86,BST2,GPR183,IFNA8,PIK3R1,RAG1,IL2RG,SYK,CEBPG,JAK3,CD79B,CR2,BCL6,ITGA4,CD40LG,IL10,BCL2,RBPJ,IFNE,FLT3,VCAM1,IL9,SPNS2,BAX,MEF2C,IL7R,RC3H1,SOS1,PRKDC,CD70,CD19,TLR4,IL7,CTPS1,BCAR1,CTLA4,ITK,TEC,SRC,VAV1,PRKCE,MYO1G,HCK,FGR,FCGR2B,IRF8,CCR2,NOTCH2,GATA3,BMI1,CD83,CD28,ALOX5,PSMB10,CCL2,TFEB,BST1,TFE3,ST6GAL1,POU2F2,NOTCH1,CD81,CLEC4G,IL4R,BCL10,FCER1G,C17orf99,LBP,C4B,MBL2,HLA-G,NKX2-3"
"23","HUMORAL ADAPTIVE IMMUNE SYSTEM","IMMUNOGLOBULIN MEDIATED RESPONSE",155,"BCL3,TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,GPR183,CH25H,PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SPNS2,BAX,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,PRKDC,CD70,CD19,TLR4,ABL1,IL7,PRKCD,CTPS1,CD38,WNT3A,BCAR1,CTLA4,GRB2,MNDA,ITK,MAPK1,BMX,NFKBIA,PTPN6,TEC,NFKB1,TNFAIP3,LIMK1,VAV2,SRC,VAV1,PRKCE,MYO1G,HCK,PTK2,FGR,PLPP4,FCGR2B,IRF8,SPI1,NOTCH2,GATA3,ZP3,CD81,IRF2BP2,SYVN1,WNT4,CLEC4G,IL4R,IL9R,MPL,BCL10,FCER1G,IL2RB,CD27,CSF2RB,LIG4,MLH1,ERCC1,UNG,RNF168,SANBR,MSH6,STAT6,LFNG,C17orf99,ST3GAL1,PTX3,SFTPA1,LBP,C4B,MBL2,HLA-G,LRRC8A,SHLD3,SHLD1,SHLD2,PMS2,MSH3"
"24","IMMUNOGLOBULIN MEDIATED RESPONSE","ADAPTIVE IMMUNE SYSTEM",155,"TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,GPR183,CH25H,PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SPNS2,BAX,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,PRKDC,CD70,CD19,TLR4,ABL1,IL7,PRKCD,CTPS1,CD38,WNT3A,BCAR1,CTLA4,GRB2,MNDA,ITK,MAPK1,BMX,NFKBIA,PTPN6,TEC,NFKB1,TNFAIP3,LIMK1,VAV2,SRC,VAV1,PRKCE,MYO1G,HCK,PTK2,FGR,PLPP4,FCGR2B,IRF8,SPI1,BCL3,ZP3,CD81,IRF2BP2,SYVN1,WNT4,CLEC4G,IL4R,IL9R,MPL,BCL10,FCER1G,IL2RB,CD27,CSF2RB,LIG4,MLH1,ERCC1,UNG,RNF168,SANBR,MSH6,STAT6,LFNG,NOTCH2,C17orf99,ST3GAL1,PTX3,SFTPA1,LBP,C4B,MBL2,HLA-G,LRRC8A,GATA3,SHLD3,SHLD1,SHLD2,PMS2,MSH3"
"25","IMMUNOGLOBULIN MEDIATED RESPONSE","B CELL",155,"TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,GPR183,CH25H,PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,SPNS2,BAX,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,PRKDC,CD70,CD19,TLR4,ABL1,IL7,PRKCD,CTPS1,CD38,WNT3A,BCAR1,CTLA4,GRB2,MNDA,ITK,MAPK1,BMX,NFKBIA,PTPN6,TEC,NFKB1,TNFAIP3,LIMK1,VAV2,SRC,VAV1,PRKCE,MYO1G,HCK,PTK2,FGR,PLPP4,FCGR2B,IRF8,SPI1,BCL3,ZP3,CD81,IRF2BP2,SYVN1,WNT4,CLEC4G,IL4R,IL9R,MPL,BCL10,FCER1G,IL2RB,CD27,CSF2RB,LIG4,MLH1,ERCC1,UNG,RNF168,SANBR,MSH6,STAT6,LFNG,NOTCH2,C17orf99,ST3GAL1,PTX3,SFTPA1,LBP,C4B,MBL2,HLA-G,LRRC8A,GATA3,SHLD3,SHLD1,SHLD2,PMS2,MSH3"
